UBIGEO,MONTH,RAIN_ANOM_MEAN,TMAX_ANOM_MEAN,TMIN_ANOM_MEAN,PASS
200306,7,-1.258252761241844e-16,3.552713678800501e-16,5.921189464667501e-17,True
200306,8,1.7763568394002506e-16,2.3684757858670005e-15,2.3684757858670006e-16,True
200306,9,-3.848773152033876e-16,-8.289665250534502e-16,2.3684757858670006e-16,True
200306,10,1.8355687340469257e-15,-1.0658141036401502e-15,-1.1842378929335002e-15,True
200306,11,1.8947806286936005e-15,-2.4868995751603505e-15,1.9539925233402757e-15,True
200306,12,1.8947806286936005e-15,4.736951571734001e-16,-1.5987211554602255e-15,True
200307,1,0.0,-5.921189464667501e-16,-4.736951571734001e-16,True
200307,2,1.4210854715202005e-15,-9.473903143468002e-16,3.552713678800501e-16,True
200307,3,1.8947806286936004e-14,4.736951571734001e-16,2.9605947323337506e-16,True
200307,4,-5.447494307494102e-15,-8.289665250534502e-16,-5.921189464667501e-17,True
200307,5,4.736951571734001e-15,-1.1842378929335003e-16,-1.7763568394002506e-16,True
200307,6,-2.1316282072803005e-15,3.079018521627101e-15,4.736951571734001e-16,True
200307,7,2.516505522483688e-16,-1.4210854715202005e-15,1.7763568394002506e-16,True
200307,8,1.0658141036401502e-15,1.7763568394002505e-15,-1.2434497875801752e-15,True
200307,9,8.289665250534502e-16,3.552713678800501e-16,8.881784197001252e-16,True
200307,10,7.105427357601002e-16,-1.6579330501069005e-15,1.5395092608135505e-15,True
200307,11,-2.1316282072803005e-15,-7.105427357601002e-16,-7.105427357601002e-16,True
200307,12,4.736951571734001e-15,-1.8947806286936005e-15,5.921189464667501e-16,True
200308,1,7.342274936187703e-15,-1.5395092608135505e-15,5.329070518200751e-16,True
200308,2,2.3684757858670005e-15,1.1842378929335002e-15,5.921189464667501e-17,True
200308,3,-2.936909974475081e-14,2.3684757858670006e-16,4.144832625267251e-16,True
200308,4,-1.0184445879228103e-14,-2.3684757858670006e-16,1.7763568394002506e-16,True
200308,5,5.210646728907401e-15,1.8947806286936005e-15,8.289665250534502e-16,True
200308,6,-1.0362081563168128e-15,1.0658141036401502e-15,-5.921189464667501e-17,True
200308,7,2.960594732333751e-17,-8.289665250534502e-16,0.0,True
200308,8,2.3684757858670006e-16,-2.723747153747051e-15,-8.289665250534502e-16,True
200308,9,6.513308411134251e-16,-1.4210854715202005e-15,-6.513308411134251e-16,True
200308,10,1.0658141036401502e-15,7.105427357601002e-16,2.9605947323337506e-16,True
200308,11,2.842170943040401e-15,1.4210854715202005e-15,-2.3684757858670006e-16,True
200308,12,3.315866100213801e-15,-1.4210854715202005e-15,7.105427357601002e-16,True
200401,1,-3.315866100213801e-15,5.921189464667501e-16,3.552713678800501e-16,True
200401,2,4.736951571734001e-16,-3.552713678800501e-16,-1.6579330501069005e-15,True
200401,3,1.8947806286936005e-15,1.0658141036401502e-15,8.289665250534502e-16,True
