UBIGEO,YEAR,RAIN_ANNUAL_MM,RAIN_ANNUAL_ANOM_MM,TMAX_ANNUAL_MEAN_C,TMAX_ANNUAL_ANOM_C,TMIN_ANNUAL_MEAN_C,TMIN_ANNUAL_ANOM_C,MONTHS_AVAILABLE,EVENT_DIAGNOSTIC_PASS
200407,2023,1456.5082619278173,749.1789807172755,29.442126840968125,1.109039654124196,20.361762829007713,1.1035562876574891,12,True
200408,2023,1575.727064467067,813.365108067899,28.357333969659056,1.0485643352017024,19.61479763584626,1.160325620185619,12,True
200409,2023,1716.2442846219913,849.5306665473631,27.17358694576876,1.0004005723818272,18.5942796241133,1.1325932361247253,12,True
200410,2023,1513.889880306129,725.8407832406739,27.166374777297566,1.0328885917687662,18.31476030478198,1.0670772020531005,12,True
200502,2023,302.9936154486465,183.8029259677851,29.237393728920555,0.7556460962571044,20.727859943512588,1.7124215988438498,12,True
200503,2023,299.8111393981308,188.9941022152559,29.395916836880655,0.8306612989008194,21.593861450582835,1.6765888525307773,12,True
200504,2023,298.9297049241995,188.5040607265953,28.440225767294745,1.088704224661681,21.89034928738478,1.7523724372932141,12,True
200505,2023,321.84438818408074,206.56079831249022,29.438131822574146,0.8520165902533746,21.655629176234015,1.6629908809729657,12,True
200506,2023,315.0412310859146,189.2566186296359,29.303018515974724,0.7161975639415683,20.373681144357178,1.7187646840146957,12,True
200507,2023,294.1615155079678,176.23183425330535,28.98533194163245,1.0062551297571274,22.370926391465854,1.7068566230638333,12,True
200601,2023,723.7743127821892,408.22242695869994,31.289826579851326,0.6229753658650209,21.12940538403964,1.5796242614163927,12,True
200603,2023,377.1123943773189,224.76443932656338,29.9095711895675,0.687622391776439,20.616975753390125,1.7111089691258632,12,True
200605,2023,593.8958257416919,311.3949168145555,29.759854548268237,0.7009776300165308,20.37816621852568,1.5537374982234498,12,True
200606,2023,359.01748979127257,220.08770013757632,30.550733471314846,0.7409862225991786,21.576606672127657,1.6873929982818499,12,True
200607,2023,674.4397882400502,374.6284237142731,31.398069574338766,0.6286232725391571,21.24366310736195,1.5978651786480313,12,True
200608,2023,550.2198333287354,297.3364895533167,31.385557237764953,0.6407289751922898,21.38936563378198,1.6633490554126473,12,True
200801,2023,230.68389461131002,164.47666106750253,26.60702840429974,1.2077143708389417,20.0951297440845,1.6233728376899383,12,True
200802,2023,283.90708867139784,195.5349861384257,30.948077182866623,1.0720368470799864,23.064375334167497,1.7302517756510847,12,True
200803,2023,283.44738836560686,195.53684215686633,31.201470106155682,1.0721817663569977,23.02704780942432,1.735588152613981,12,True
200804,2023,280.13498361744354,197.22986606839336,31.647377444855938,1.0497996269687377,23.08420196874829,1.724969759795762,12,True
200805,2023,276.7536491457317,192.53457091701,24.130205783780017,1.3946477851375783,18.906726496577313,1.7766418181767223,12,True
200806,2023,271.0282351704818,189.7857980167548,30.694513624073952,1.1957520095512069,23.58860112660442,1.7371745761072723,12,True
