UBIGEO,VARIABLE,median_contributing_pixels,minimum_contributing_pixels,median_effective_support_area_m2,district_physical_area_m2,minimum_valid_area_fraction,LOW_PIXEL_SUPPORT_REVIEW
200114,TMIN,71.0,71,1484414542.2313123,1484416069.3454156,0.9999989712358045,False
200201,RAIN,74.0,74,1563476549.4525917,1563476535.217629,1.0,False
200201,TMAX,74.0,74,1563476549.4531083,1563476535.217629,1.0,False
200201,TMIN,74.0,74,1563476549.4531083,1563476535.217629,1.0,False
200202,RAIN,32.0,32,559903905.941759,559903905.6904961,1.0,False
200202,TMAX,32.0,32,559903905.9420362,559903905.6904961,1.0,False
200202,TMIN,32.0,32,559903905.9420362,559903905.6904961,1.0,False
200203,RAIN,11.0,11,97107193.50368854,97107193.53407267,0.9999999996871074,False
200203,TMAX,11.0,11,97107193.50378965,97107193.53407267,0.9999999996881486,False
200203,TMIN,11.0,11,97107193.50378965,97107193.53407267,0.9999999996881486,False
200204,RAIN,15.0,15,189370332.29674256,189370332.26956093,1.0,False
200204,TMAX,15.0,15,189370332.29684174,189370332.26956093,1.0,False
200204,TMIN,15.0,15,189370332.29684174,189370332.26956093,1.0,False
200205,RAIN,12.0,12,131166767.27944618,131166767.2820248,0.999999999980341,False
200205,TMAX,12.0,12,131166767.27947348,131166767.2820248,0.999999999980549,False
200205,TMIN,12.0,12,131166767.27947348,131166767.2820248,0.999999999980549,False
200206,RAIN,50.0,50,962796631.7225689,962796631.7610093,0.9999999999600742,False
200206,TMAX,50.0,50,962796631.722343,962796631.7610093,0.9999999999598396,False
200206,TMIN,50.0,50,962796631.722343,962796631.7610093,0.9999999999598396,False
200207,RAIN,22.0,22,323042223.235031,323042223.26341176,0.9999999999121454,False
200207,TMAX,22.0,22,323042223.23483425,323042223.26341176,0.9999999999115363,False
200207,TMIN,22.0,22,323042223.23483425,323042223.26341176,0.9999999999115363,False
200208,RAIN,19.0,19,275280834.31204516,275280834.31250876,0.9999999999983159,False
200208,TMAX,19.0,19,275280834.3120156,275280834.31250876,0.9999999999982084,False
200208,TMIN,19.0,19,275280834.3120156,275280834.31250876,0.9999999999982084,False
200209,RAIN,6.0,6,34135051.97119436,34135051.97061862,1.0,False
200209,TMAX,6.0,6,34135051.97118354,34135051.97061862,1.0,False
200209,TMIN,6.0,6,34135051.97118354,34135051.97061862,1.0,False
200210,RAIN,54.0,54,1069606136.2808492,1069606136.3500563,0.9999999999352966,False
200210,TMAX,54.0,54,1069606136.2808968,1069606136.3500563,0.9999999999353412,False
200210,TMIN,54.0,54,1069606136.2808968,1069606136.3500563,0.9999999999353412,False
200301,RAIN,29.0,29,443586648.4798715,443586648.4386151,1.0,False
200301,TMAX,29.0,29,443586648.4797918,443586648.4386151,1.0,False
200301,TMIN,29.0,29,443586648.4797918,443586648.4386151,1.0,False
200302,RAIN,22.0,22,311514002.83199793,311514002.8114764,1.0,False
200302,TMAX,22.0,22,311514002.8320035,311514002.8114764,1.0,False
200302,TMIN,22.0,22,311514002.8320035,311514002.8114764,1.0,False
200303,RAIN,37.0,37,656483040.8102189,656483040.7083707,1.0,False
200303,TMAX,37.0,37,656483040.8100504,656483040.7083707,1.0,False
200303,TMIN,37.0,37,656483040.8100504,656483040.7083707,1.0,False
200304,RAIN,87.0,87,1912604759.8246388,1912604759.8899853,0.9999999999658338,False
200304,TMAX,87.0,87,1912604759.8244195,1912604759.8899853,0.9999999999657191,False
200304,TMIN,87.0,87,1912604759.8244195,1912604759.8899853,0.9999999999657191,False
200305,RAIN,13.0,13,145878217.23683816,145878217.27116576,0.9999999997646832,False
200305,TMAX,13.0,13,145878217.23703566,145878217.27116576,0.999999999766037,False
200305,TMIN,13.0,13,145878217.23703566,145878217.27116576,0.999999999766037,False
200306,RAIN,16.0,16,207443735.8593477,207443735.88500342,0.9999999998763245,False
200306,TMAX,16.0,16,207443735.85942295,207443735.88500342,0.9999999998766872,False
200306,TMIN,16.0,16,207443735.85942295,207443735.88500342,0.9999999998766872,False
200307,RAIN,21.0,21,343017380.7101741,343017380.6612949,1.0,False
200307,TMAX,21.0,21,343017380.71025676,343017380.6612949,1.0,False
200307,TMIN,21.0,21,343017380.71025676,343017380.6612949,1.0,False
200308,RAIN,17.0,17,228744911.30403647,228744911.2900924,1.0,False
200308,TMAX,17.0,17,228744911.30403945,228744911.2900924,1.0,False
200308,TMIN,17.0,17,228744911.30403945,228744911.2900924,1.0,False
200401,RAIN,49.0,49,835287424.4709942,835287721.9938935,0.9999996438078863,False
200401,TMAX,49.0,49,835287424.4666506,835287721.9938935,0.9999996438026861,False
200401,TMIN,49.0,49,835287424.4666506,835287721.9938935,0.9999996438026861,False
200402,RAIN,17.0,17,247554383.63737103,247554383.64203253,0.9999999999811698,False
200402,TMAX,17.0,17,247554383.63736108,247554383.64203253,0.9999999999811295,False
200402,TMIN,17.0,17,247554383.63736108,247554383.64203253,0.9999999999811295,False
200403,RAIN,14.0,14,149067537.26649585,149067537.33373794,0.9999999995489153,False
200403,TMAX,14.0,14,149067537.26652277,149067537.33373794,0.9999999995490958,False
200403,TMIN,14.0,14,149067537.26652277,149067537.33373794,0.9999999995490958,False
200404,RAIN,49.0,49,982160234.8649956,982160121.5230391,1.0,False
200404,TMAX,49.0,49,982160234.8649141,982160121.5230391,1.0,False
200404,TMIN,49.0,49,982160234.8649141,982160121.5230391,1.0,False
200405,RAIN,13.0,13,172172978.88293472,172172978.8921083,0.9999999999467188,False
200405,TMAX,13.0,13,172172978.883065,172172978.8921083,0.9999999999474755,False
200405,TMIN,13.0,13,172172978.883065,172172978.8921083,0.9999999999474755,False
200406,RAIN,38.0,38,608612583.3956075,608612583.423236,0.9999999999546041,False
200406,TMAX,38.0,38,608612583.3956157,608612583.423236,0.9999999999546175,False
200406,TMIN,38.0,38,608612583.3956157,608612583.423236,0.9999999999546175,False
200407,RAIN,16.0,16,250379249.41455835,250379249.39744285,1.0,False
200407,TMAX,16.0,16,250379249.4144708,250379249.39744285,1.0,False
200407,TMIN,16.0,16,250379249.4144708,250379249.39744285,1.0,False
200408,RAIN,7.0,7,80398531.9490439,80398531.95693818,0.9999999999018107,False
200408,TMAX,7.0,7,80398531.94907422,80398531.95693818,0.9999999999021878,False
200408,TMIN,7.0,7,80398531.94907422,80398531.95693818,0.9999999999021878,False
200409,RAIN,17.0,17,189577867.7467762,189577867.73513252,1.0,False
200409,TMAX,17.0,17,189577867.7466787,189577867.73513252,1.0,False
200409,TMIN,17.0,17,189577867.7466787,189577867.73513252,1.0,False
200410,RAIN,20.0,20,218515096.2115692,218515096.13640484,1.0,False
200410,TMAX,20.0,20,218515096.2114343,218515096.13640484,1.0,False
200410,TMIN,20.0,20,218515096.2114343,218515096.13640484,1.0,False
200502,RAIN,8.0,8,63872527.08787359,63872211.546237715,1.0,False
200502,TMAX,8.0,8,63872527.082186386,63872211.546237715,1.0,False
200502,TMIN,8.0,8,63872527.082186386,63872211.546237715,1.0,False
200503,RAIN,2.0,2,8290783.186076757,8290783.180264206,1.0,True
200503,TMAX,2.0,2,8290783.186057253,8290783.180264206,1.0,True
200503,TMIN,2.0,2,8290783.186057253,8290783.180264206,1.0,True
200504,RAIN,13.0,13,122420861.50572534,122420879.78449504,0.9999998506891167,False
200504,TMAX,13.0,13,122420861.50553367,122420879.78449504,0.9999998506875509,False
200504,TMIN,13.0,13,122420861.50553367,122420879.78449504,0.9999998506875509,False
200505,RAIN,33.0,33,574889031.8741219,574890271.5124394,0.9999978436957818,False
200505,TMAX,33.0,33,574889031.8693466,574890271.5124394,0.9999978436874754,False
200505,TMIN,33.0,33,574889031.8693466,574890271.5124394,0.9999978436874754,False
200506,RAIN,8.0,8,64802570.110446185,64802454.16227768,1.0,False
200506,TMAX,8.0,8,64802570.10778798,64802454.16227768,1.0,False
200506,TMIN,8.0,8,64802570.10778798,64802454.16227768,1.0,False
200507,RAIN,13.0,13,157678648.9829264,157672223.4535248,1.0,False
200507,TMAX,13.0,13,157678648.98791537,157672223.4535248,1.0,False
200507,TMIN,13.0,13,157678648.98791537,157672223.4535248,1.0,False
200601,RAIN,36.0,36,525250230.7373374,525250475.0667606,0.9999995348325518,False
200601,TMAX,36.0,36,525250230.73665255,525250475.0667606,0.9999995348312478,False
200601,TMIN,36.0,36,525250230.73665255,525250475.0667606,0.9999995348312478,False
200603,RAIN,15.0,15,187834713.81545863,187834689.86112517,1.0,False
200603,TMAX,15.0,15,187834713.84120822,187834689.86112517,1.0,False
200603,TMIN,15.0,15,187834713.84120822,187834689.86112517,1.0,False
200605,RAIN,80.0,80,1646898785.5655892,1646898786.0169249,0.9999999997259481,False
200605,TMAX,80.0,80,1646898785.5659094,1646898786.0169249,0.9999999997261426,False
200605,TMIN,80.0,80,1646898785.5659094,1646898786.0169249,0.9999999997261426,False
200606,RAIN,30.0,30,476376819.7075132,476375693.5493182,1.0,False
200606,TMAX,30.0,30,476376819.71482205,476375693.5493182,1.0,False
200606,TMIN,30.0,30,476376819.71482205,476375693.5493182,1.0,False
200607,RAIN,18.0,18,277054554.5324113,277054554.5526106,0.9999999999270927,False
200607,TMAX,18.0,18,277054554.53246933,277054554.5526106,0.9999999999273023,False
200607,TMIN,18.0,18,277054554.53246933,277054554.5526106,0.9999999999273023,False
200608,RAIN,5.0,5,31255798.897757385,31255798.905897412,0.9999999997395674,False
200608,TMAX,5.0,5,31255798.89772315,31255798.905897412,0.9999999997384721,False
200608,TMIN,5.0,5,31255798.89772315,31255798.905897412,0.9999999997384721,False
200801,RAIN,226.0,226,5627271202.709466,5627281680.032537,0.9999981381200254,False
200801,TMAX,226.0,226,5627271202.667934,5627281680.032537,0.999998138112645,False
200801,TMIN,226.0,226,5627271202.667934,5627281680.032537,0.999998138112645,False
200802,RAIN,2.0,2,13766144.118859267,13766144.118872382,0.9999999999990473,True
200802,TMAX,2.0,2,13766144.118813235,13766144.118872382,0.9999999999957034,True
200802,TMIN,2.0,2,13766144.118813235,13766144.118872382,0.9999999999957034,True
200803,RAIN,8.0,8,71164627.52325274,71164644.09395638,0.9999997671497715,False
200803,TMAX,8.0,8,71164627.51938176,71164644.09395638,0.9999997670953767,False
200803,TMIN,8.0,8,71164627.51938176,71164644.09395638,0.9999997670953767,False
200804,RAIN,18.0,18,262982188.9997511,262982771.6472387,0.9999977844651802,False
200804,TMAX,18.0,18,262982189.01069304,262982771.6472387,0.9999977845067872,False
200804,TMIN,18.0,18,262982189.01069304,262982771.6472387,0.9999977845067872,False
200805,RAIN,16.0,16,258920209.92044893,258918425.32807523,1.0,False
200805,TMAX,16.0,16,258920209.9120366,258918425.32807523,1.0,False
200805,TMIN,16.0,16,258920209.9120366,258918425.32807523,1.0,False
200806,RAIN,3.0,3,19861045.254273217,19861045.254391994,0.9999999999940196,False
200806,TMAX,3.0,3,19861045.254256025,19861045.254391994,0.9999999999931539,False
200806,TMIN,3.0,3,19861045.254256025,19861045.254391994,0.9999999999931539,False
