UBIGEO,VARIABLE,N_INTERSECTING_PIXELS_STATIC,TOTAL_OVERLAP_AREA_M2,DISTRICT_AREA_M2,TOTAL_OVERLAP_AREA_FRACTION
200803,TMAX,8,71164627.51938176,71164644.09395638,0.9999997670953767
200804,TMAX,18,262982189.01069304,262982771.6472387,0.9999977845067872
200805,TMAX,16,258920209.9120366,258918425.32807523,1.000006892456414
200806,TMAX,3,19861045.254256025,19861045.254391994,0.9999999999931539
200101,TMIN,16,194560006.80893242,194559781.23193872,1.0000011594225295
200104,TMIN,36,651336541.3882983,651335043.1665405,1.0000023002320748
200105,TMIN,106,2268344072.4823146,2268347998.562726,0.9999982691895538
200107,TMIN,12,215641793.69023514,215642049.8728908,0.9999988120004618
200108,TMIN,10,100155891.27901132,100155687.10066693,1.0000020386095918
200109,TMIN,15,169856331.08495092,169856325.61880985,1.0000000321809686
200110,TMIN,25,318302357.4113857,318303976.36946326,0.9999949137987655
200111,TMIN,33,552653389.7411835,552653389.7327626,1.0000000000152374
200114,TMIN,71,1484414542.2313123,1484416069.3454156,0.9999989712358045
200201,TMIN,74,1563476549.4531083,1563476535.217629,1.0000000091050163
200202,TMIN,32,559903905.9420362,559903905.6904961,1.0000000004492557
200203,TMIN,11,97107193.50378965,97107193.53407267,0.9999999996881486
200204,TMIN,15,189370332.29684174,189370332.26956093,1.0000000001440605
200205,TMIN,12,131166767.27947348,131166767.2820248,0.999999999980549
200206,TMIN,50,962796631.722343,962796631.7610093,0.9999999999598396
200207,TMIN,22,323042223.23483425,323042223.26341176,0.9999999999115363
200208,TMIN,19,275280834.3120156,275280834.31250876,0.9999999999982084
200209,TMIN,6,34135051.97118354,34135051.97061862,1.0000000000165494
200210,TMIN,54,1069606136.2808968,1069606136.3500563,0.9999999999353412
200301,TMIN,29,443586648.4797918,443586648.4386151,1.0000000000928269
200302,TMIN,22,311514002.8320035,311514002.8114764,1.0000000000658946
200303,TMIN,37,656483040.8100504,656483040.7083707,1.0000000001548854
200304,TMIN,87,1912604759.8244195,1912604759.8899853,0.9999999999657191
200305,TMIN,13,145878217.23703566,145878217.27116576,0.999999999766037
200306,TMIN,16,207443735.85942295,207443735.88500342,0.9999999998766872
200307,TMIN,21,343017380.71025676,343017380.6612949,1.0000000001427387
200308,TMIN,17,228744911.30403945,228744911.2900924,1.0000000000609721
200401,TMIN,49,835287424.4666506,835287721.9938935,0.9999996438026861
200402,TMIN,17,247554383.63736108,247554383.64203253,0.9999999999811295
200403,TMIN,14,149067537.26652277,149067537.33373794,0.9999999995490958
200404,TMIN,49,982160234.8649141,982160121.5230391,1.0000001154006077
200405,TMIN,13,172172978.883065,172172978.8921083,0.9999999999474755
200406,TMIN,38,608612583.3956157,608612583.423236,0.9999999999546175
200407,TMIN,16,250379249.4144708,250379249.39744285,1.0000000000680087
200408,TMIN,7,80398531.94907422,80398531.95693818,0.9999999999021878
200409,TMIN,17,189577867.7466787,189577867.73513252,1.0000000000609048
200410,TMIN,20,218515096.2114343,218515096.13640484,1.0000000003433605
200502,TMIN,8,63872527.082186386,63872211.546237715,1.000004940113095
200503,TMIN,2,8290783.186057253,8290783.180264206,1.0000000006987333
200504,TMIN,13,122420861.50553367,122420879.78449504,0.9999998506875509
200505,TMIN,33,574889031.8693466,574890271.5124394,0.9999978436874754
200506,TMIN,8,64802570.10778798,64802454.16227768,1.0000017892148036
200507,TMIN,13,157678648.98791537,157672223.4535248,1.0000407524816346
200601,TMIN,36,525250230.73665255,525250475.0667606,0.9999995348312478
200603,TMIN,15,187834713.84120822,187834689.86112517,1.000000127665891
200605,TMIN,80,1646898785.5659094,1646898786.0169249,0.9999999997261426
200606,TMIN,30,476376819.71482205,476375693.5493182,1.0000023640280542
200607,TMIN,18,277054554.53246933,277054554.5526106,0.9999999999273023
200608,TMIN,5,31255798.89772315,31255798.905897412,0.9999999997384721
200801,TMIN,226,5627271202.667934,5627281680.032537,0.999998138112645
200802,TMIN,2,13766144.118813235,13766144.118872382,0.9999999999957034
200803,TMIN,8,71164627.51938176,71164644.09395638,0.9999997670953767
200804,TMIN,18,262982189.01069304,262982771.6472387,0.9999977845067872
200805,TMIN,16,258920209.9120366,258918425.32807523,1.000006892456414
200806,TMIN,3,19861045.254256025,19861045.254391994,0.9999999999931539
