UBIGEO,MONTH,RAIN_NORMAL,RAIN_SD,TMAX_NORMAL,TMAX_SD,TMIN_NORMAL,TMIN_SD,RAIN_N_YEARS,TMAX_N_YEARS,TMIN_N_YEARS,N_YEARS_AVAILABLE,PASS
200301,12,46.85943097816822,31.196105183117798,22.937258924454966,0.46398578433189536,14.736554241354986,0.720134030853198,30,30,30,30,True
200302,1,105.35461840613637,40.647414692098565,25.54016270909563,0.5306193393844115,16.98772549998129,0.6520646992459992,30,30,30,30,True
200302,2,154.04294342938093,90.21233298623235,25.27396964946928,0.4175365378289662,17.27248156204355,0.5140199961354252,30,30,30,30,True
200302,3,220.80234016332471,145.98266836417798,25.329376799849694,0.4838991154595745,17.301567275771763,0.6187140239042953,30,30,30,30,True
200302,4,91.50013568165815,44.710103151413044,25.29733556896176,0.5240431729569236,16.847293836628555,0.5084155036169683,30,30,30,30,True
200302,5,35.3347629058138,22.996484213123537,25.12002676126108,0.7992678392550953,16.220369845709165,0.6177993110328831,30,30,30,30,True
200302,6,5.381022530124695,7.440223900525517,25.25691510385316,1.0415586101778969,15.78593275095148,0.7021375818774706,30,30,30,30,True
200302,7,1.1489700287897398,2.014863482728809,24.620332401895034,0.8416166154721475,14.560103583828957,0.5591115909806431,30,30,30,30,True
200302,8,4.492472165946934,7.721368947797259,24.68271140819539,0.662028057762743,14.178585537355957,0.5270916001569221,30,30,30,30,True
200302,9,10.051637691538415,12.023081141580189,25.253395667016655,0.5981362787117336,15.063592549121068,0.35132755247732683,30,30,30,30,True
200302,10,23.02958941593814,16.546028685741216,25.476930237160175,0.6380075458785619,16.109302877832,0.4575728992212476,30,30,30,30,True
200302,11,18.734684496249752,16.75872303535636,25.655231053487373,0.4496825911401217,16.522716308611265,0.7899807585095775,30,30,30,30,True
200302,12,33.025507686522836,26.12645695227108,25.8509145470448,0.46839888992180956,17.197112752235462,0.7855376029078069,30,30,30,30,True
200303,1,128.68330315992495,64.91623967783775,22.268730677950828,0.5237807987434047,14.480616216759648,0.4871307675452557,30,30,30,30,True
200303,2,121.52115976979513,62.31771095349062,21.789944184477214,0.4405473187421134,14.20752240841627,0.3888523090805158,30,30,30,30,True
200303,3,152.60349540705658,80.42646983744868,21.709451682243063,0.41019791261811117,13.894311640070567,0.4876948152875582,30,30,30,30,True
200303,4,99.2375564322857,44.68376896368927,21.93869001441239,0.5278991531778247,13.820405457740062,0.39085336868177445,30,30,30,30,True
200303,5,80.5068220230218,40.96023853348196,22.133640857869505,0.7559518248655065,14.01010806624249,0.6176880387655492,30,30,30,30,True
200303,6,66.07284863886424,23.656558943267328,22.28436921738483,0.9418921311485066,14.198286844534156,0.6359776063212854,30,30,30,30,True
200303,7,51.13190503531519,14.651042232811154,21.67150233931792,0.8038627292191377,13.240065588570634,0.4994073481701906,30,30,30,30,True
200303,8,28.034483461740017,15.480368376008876,21.999965444771597,0.7418495809524077,12.965518316527264,0.41486013006950245,30,30,30,30,True
200303,9,23.979605998279908,22.012899553917933,22.35287193168426,0.5335043626022345,13.162924482982366,0.3410889647124638,30,30,30,30,True
200303,10,66.20321965552411,36.51292190185271,22.852317303479534,0.490461934494232,14.272315484525297,0.4645363624814232,30,30,30,30,True
200303,11,75.40673021503558,43.41354348854875,23.301696143307975,0.41018917423670115,14.793080929559018,0.7090689376015079,30,30,30,30,True
200303,12,86.54526345760391,45.14557807032592,22.94730915366832,0.3486904972583203,15.165482212716869,0.5705189990537698,30,30,30,30,True
200304,1,82.70148464128123,41.27682063455067,26.248672158883185,0.6076140046375739,17.35092116126143,0.7270583903661,30,30,30,30,True
200304,2,152.19820074542162,86.16456891978325,26.054820996024482,0.44955074175464604,17.860280791546156,0.5993163494155009,30,30,30,30,True
200304,3,181.99854289702864,124.64212643669386,26.112303337592454,0.5518201945809925,17.986824953746634,0.7085812518871716,30,30,30,30,True
200304,4,98.88624137750013,54.14672664355735,25.896087064506506,0.6167342492639908,17.414933466811082,0.6118337493180156,30,30,30,30,True
200304,5,30.274580712242447,22.816848217456823,25.620339315836738,0.8790010817250716,16.490038761908178,0.6576708332724951,30,30,30,30,True
200304,6,3.610766197269945,5.892145807480094,25.76265834798037,1.115923386765612,15.906407436786974,0.702891182361735,30,30,30,30,True
200304,7,1.0838595638413886,1.6176075190969534,25.112695459456372,0.8815841782083265,14.708686868768195,0.5964968268219719,30,30,30,30,True
200304,8,3.2022287795366675,4.867885004373486,25.093320714593272,0.6862623540135111,14.321851696396594,0.5435625135058796,30,30,30,30,True
200304,9,10.534473542417336,13.09377392912408,25.798287352479928,0.662551031967138,15.336023483111534,0.43200471123495027,30,30,30,30,True
200304,10,25.864548601267714,18.60329590129673,25.871202298416904,0.6781007483622087,16.037950994922298,0.4842323755415963,30,30,30,30,True
200304,11,22.163874827197745,19.200054977149968,26.126365958613025,0.456634334613218,16.38164583818421,0.8516504969571376,30,30,30,30,True
200304,12,31.215050393716226,24.90473637030632,26.338679868731255,0.4810866297473395,17.12739279758432,0.8146047838859144,30,30,30,30,True
200305,1,130.83801726588234,47.37040041278384,25.32443465235995,0.5039611511888278,17.01354387131497,0.6231723760507387,30,30,30,30,True
200305,2,137.40794979869167,87.62563485868058,25.05051014044501,0.41507766310084826,17.182352994346864,0.48835678248139164,30,30,30,30,True
200305,3,186.96496987927688,122.45316253819087,25.11461100603008,0.46770984095729756,17.1447829124398,0.5925216752271267,30,30,30,30,True
200305,4,98.02924637665828,49.38111653908313,25.120563492463152,0.4760222366900431,16.75498760174873,0.4772237784036082,30,30,30,30,True
200305,5,47.78800397047772,28.687418441335833,24.968661385576205,0.7587948500121037,16.229857500024377,0.5995695105075617,30,30,30,30,True
200305,6,9.481657147321707,7.691587428970298,25.107380545063158,1.0039888624584465,15.886038938944365,0.7016495673431599,30,30,30,30,True
200305,7,1.5552069287206112,2.6405536418639333,24.491859481100224,0.8222319562889846,14.70970532166343,0.5627542054905972,30,30,30,30,True
200305,8,6.294626933622533,8.938607657384676,24.579646745345254,0.6707857535306604,14.306335796026314,0.532968019501497,30,30,30,30,True
200305,9,12.890434991967167,12.919597206022956,25.12042425919577,0.5746343366820932,15.111577027646328,0.34257143412935576,30,30,30,30,True
200305,10,28.76548758887252,20.73109526604734,25.374869532087448,0.6050092292597554,16.235330611881622,0.4534162323284466,30,30,30,30,True
200305,11,26.457802543437413,20.795637769445822,25.538666970368595,0.4475960578542753,16.669171185854935,0.7647783630256761,30,30,30,30,True
200305,12,48.372536516813916,31.704924657252814,25.710354820665504,0.4732644237509842,17.3306935259394,0.7603791343469997,30,30,30,30,True
200306,1,102.66903727576381,41.595305607510824,26.054990916277422,0.5549960102007112,17.426017431524624,0.6716268034639875,30,30,30,30,True
200306,2,168.9984496680993,91.05413829181714,25.8175921599235,0.4189851863894159,17.80734135882096,0.5296155396009816,30,30,30,30,True
200306,3,240.64996917881814,163.16379263367304,25.88458098717628,0.5012117979823876,17.88373372838438,0.640701929933782,30,30,30,30,True
200306,4,100.08310633837205,47.72125965734783,25.802805602077836,0.5742753187077457,17.409675415226328,0.5402889363294882,30,30,30,30,True
200306,5,32.82431466285744,22.147929121282846,25.55330791836086,0.8393348903826248,16.650272494366384,0.6334972351660894,30,30,30,30,True
200306,6,4.2649290167087255,6.9254832982541,25.639862797346783,1.08368241910643,16.045459170558324,0.6748581254814792,30,30,30,30,True
200306,7,1.0905053000174036,1.8264351364267406,24.988190039594613,0.8857845429955121,14.682129530678294,0.5457954177589025,30,30,30,30,True
200306,8,3.641996861736261,5.799273517213651,25.06101424421156,0.6583069141584863,14.285671373645844,0.5055573705124473,30,30,30,30,True
200306,9,10.12031880215959,12.62377180253656,25.641914054758765,0.6327998731081654,15.34660074699926,0.3724508572256428,30,30,30,30,True
200306,10,23.57481424457575,17.00823001786625,25.80654680018074,0.6746719587558104,16.341322408963755,0.4688577491791049,30,30,30,30,True
200306,11,18.78168752586857,16.627646034876616,26.004828991660336,0.45454663578834353,16.72976608669099,0.8098928670120757,30,30,30,30,True
200306,12,30.437310357237948,25.091753435634825,26.274385630149894,0.4728019494672104,17.485148544005202,0.7991190650217511,30,30,30,30,True
200307,1,71.34070381003087,35.13706882111092,23.111286306049752,0.5346447089257169,14.998776401443509,0.6136492192626253,30,30,30,30,True
200307,2,116.5340398652834,55.109662945351324,22.650541671637598,0.4394224324219498,14.793234585208468,0.47988964914374194,30,30,30,30,True
200307,3,156.73939028348207,90.95267317596169,22.633376243476523,0.4795193617923545,14.675030428101094,0.5706561241344253,30,30,30,30,True
200307,4,105.80779813847438,45.6064787287247,22.778222121626918,0.5710593449731328,14.63707215574651,0.45301153245573883,30,30,30,30,True
200307,5,58.146355387957925,35.12210095919609,23.041335150769658,0.7952758715953421,14.81285865081865,0.641981190730598,30,30,30,30,True
200307,6,27.5012068389664,15.513831207294517,23.371697182805544,1.0210660021603968,14.895480825902037,0.7071178093824793,30,30,30,30,True
200307,7,6.318545922044617,5.077037360447246,22.697787797069285,0.8220576298874988,13.67611995365403,0.5066643744862879,30,30,30,30,True
200307,8,16.365010153631793,11.683398936846965,23.057003008201555,0.6694829114581516,13.521128025175175,0.437508001196457,30,30,30,30,True
200307,9,26.43797965284454,25.03334429992455,23.56143077348045,0.5800656366768747,14.230892998932298,0.311881062624865,30,30,30,30,True
200307,10,61.043155042978945,34.917607019723235,23.799567820853586,0.5815819713858532,15.087179918715846,0.4403353264978127,30,30,30,30,True
200307,11,52.728519376470096,36.475485487331,24.072253798135588,0.43060861010280826,15.292213153014298,0.7504370486270282,30,30,30,30,True
200307,12,61.11861748567281,42.888809796558974,23.729102674830905,0.43178766840776356,15.604229092203012,0.7417218456907047,30,30,30,30,True
200308,1,69.07285254023974,31.99545963515489,23.748659640354674,0.543668812740469,15.46042282261559,0.6330962114517505,30,30,30,30,True
200308,2,122.10665672105117,61.80303375144998,23.3246830168185,0.42697865618361186,15.35482918015145,0.5016598288973301,30,30,30,30,True
200308,3,162.48661736296506,100.58383246376698,23.338480252399975,0.4948875094874547,15.290594369011327,0.6044942366628457,30,30,30,30,True
200308,4,86.7089589229869,39.5590906915883,23.446149766495218,0.5536257414116227,15.15265792210605,0.4795565749879889,30,30,30,30,True
200308,5,35.071996137434034,24.891070282932663,23.618790958855033,0.7735695936133337,15.057485208022229,0.5960026691633838,30,30,30,30,True
200308,6,10.16142033286803,10.1323553880366,23.94096455532766,1.0069849264438349,14.772319398311177,0.6450292773367842,30,30,30,30,True
200308,7,2.71757087447766,4.105423516947967,23.26907980747831,0.8432135476758039,13.301340573016544,0.5035526264265434,30,30,30,30,True
200308,8,6.354667937273907,8.2272631235235,23.584692751702093,0.6097165308268492,13.061270732898006,0.4247953053430793,30,30,30,30,True
200308,9,19.923832859493814,20.482357707682546,24.092059974796697,0.5879506871442585,14.07073297124136,0.3066743579168457,30,30,30,30,True
200308,10,43.55446041623339,27.100184049862214,24.29714163399744,0.6119975383396274,15.240757621332165,0.45066729060315913,30,30,30,30,True
200308,11,36.69967734848006,27.651432787656585,24.496247711016814,0.44714198383384934,15.595038736169421,0.7785250735031175,30,30,30,30,True
200308,12,44.617237852196475,32.49538287175735,24.285072482178407,0.4817606495736547,15.972007604524135,0.7823570413344015,30,30,30,30,True
200401,1,49.91361597729107,103.94616207140076,31.039180536201243,0.50340488189138,20.816400135314385,0.9194087950300486,30,30,30,30,True
200401,2,127.23193045861585,148.1551841003658,31.274388868965033,0.40088645122427913,22.457138569843664,1.0105755834936847,30,30,30,30,True
200401,3,182.18731371583164,209.8239752085422,31.418976565198992,0.5097965543313062,22.66264820395007,0.9752022452736145,30,30,30,30,True
200401,4,53.65539092190217,57.19070934330565,30.815673142617996,0.4577094219453871,21.234250991671843,1.2591342455320524,30,30,30,30,True
200401,5,8.25788546952642,8.872330696946278,29.730942539161887,0.9512042835303092,19.45438189494255,0.9434553329263087,30,30,30,30,True
200401,6,0.6117717872417381,1.100890382518939,29.169302475859393,1.2149932475355036,19.147604198920202,0.9891290287174829,30,30,30,30,True
200401,7,0.386966262036435,1.1062664761355203,28.28351141136928,0.9111590604271177,18.449630884847508,0.8541310526984596,30,30,30,30,True
200401,8,1.3547392191206278,1.9353255879689182,28.32697885908431,0.7294690158991749,18.281932747946104,0.793801810574766,30,30,30,30,True
200401,9,2.620782625337817,3.574607342593195,28.779424155857903,0.7414330885298104,18.355713096418082,0.7737007352898018,30,30,30,30,True
200401,10,4.717040179878173,5.75872847540974,29.094915188106846,0.721673927464518,18.24858383263662,0.6231330212137455,30,30,30,30,True
200401,11,3.498049778117432,3.8264187498215083,29.462153933728526,0.512496910024981,18.47355665241437,0.9357442831667873,30,30,30,30,True
200401,12,8.975705754748965,20.806600555096967,30.64645255268125,0.46338588399030434,20.023661637375742,0.945398300619021,30,30,30,30,True
200402,1,56.346439028335226,57.58249942579928,30.577318715127912,0.5200759251686434,21.3188129951551,0.7871165798254585,30,30,30,30,True
200402,2,119.3294108124282,107.68609137250239,30.674147399583767,0.41390376239703364,22.565980982184133,0.7530969247986108,30,30,30,30,True
200402,3,193.76500039953336,177.92880011161037,30.893358966294745,0.5354501892238013,22.907877318809728,0.7281979702542277,30,30,30,30,True
200402,4,67.68496005062725,50.9170799062601,30.473282461517034,0.4934962559493288,21.780378431108947,0.9075426542411253,30,30,30,30,True
200402,5,13.719923874395256,13.0109186422277,29.641242949401867,0.9339075345249983,20.227862939283785,0.7801786637572637,30,30,30,30,True
200402,6,2.0492928135487753,3.832235683001366,29.153999976856486,1.184807472521616,19.726036976354465,0.8627804523592529,30,30,30,30,True
200402,7,0.49800646499411777,1.1643447286090642,28.37565502499625,0.8891733137790394,19.050095550051594,0.7145182955904376,30,30,30,30,True
200402,8,2.4213012806138754,4.571965841395508,28.307260096527425,0.7440192969896575,18.77800845766341,0.7094117330053513,30,30,30,30,True
200402,9,4.95063165158472,6.2299222135047625,28.76828461359956,0.6952388632846161,18.92767016050112,0.61270808392867,30,30,30,30,True
200402,10,8.633115474518837,8.648400550550692,28.879768722510743,0.6809320538440109,18.89055687780451,0.5339486315915026,30,30,30,30,True
200402,11,6.340633408576243,7.473454192531334,29.225411997190612,0.4886367880741904,19.16346186783553,0.8710275538821087,30,30,30,30,True
200402,12,12.394879315265905,14.664599351785862,30.26721663516453,0.4329700126976491,20.62316637062265,0.8816319853040908,30,30,30,30,True
200403,1,124.6450052460145,67.07645691592145,24.313738134803376,0.48745303521065364,16.122375113513765,0.6414104144184416,30,30,30,30,True
200403,2,216.25744403011154,142.58491179840507,23.956396125662476,0.40355837208851875,16.225267073199245,0.4965174152014039,30,30,30,30,True
200403,3,297.8327717124928,196.4760211780322,23.983254132756155,0.46666742293271196,16.109500272241903,0.5990751103847475,30,30,30,30,True
200403,4,141.79290220763986,79.8201950046519,23.99662948842588,0.44348000527047,15.804161626388256,0.49418763322117915,30,30,30,30,True
200403,5,41.95970461963539,25.68587828367401,24.108709885367414,0.7517131776947179,15.545850520897035,0.6009438505593554,30,30,30,30,True
200403,6,4.092782130644278,4.818961151046669,24.733359991225615,1.0098507968936974,15.729580537027589,0.6848473840265272,30,30,30,30,True
200403,7,1.0030901121254123,1.818754632622204,24.10468809754337,0.838379380367632,14.484758742233891,0.5725838833512484,30,30,30,30,True
200403,8,5.13885623058071,6.007720545407704,24.36053310895629,0.6526543507247645,14.138392928877813,0.5302458410491208,30,30,30,30,True
200403,9,9.098052555595036,9.08770430299333,24.900934278005174,0.5971615687837064,15.055037631089025,0.3854401186199212,30,30,30,30,True
200403,10,20.571295113954243,15.371413115730224,25.001942051618073,0.6228540402669348,15.980341570007434,0.4674740920930809,30,30,30,30,True
200403,11,18.50196043346991,17.573698471393957,24.964039684098054,0.43851097748025936,16.159347604063004,0.783965991262063,30,30,30,30,True
200403,12,42.55870952529228,31.29708995653317,24.81696433064759,0.45498750709829405,16.49020095341899,0.7658740107182942,30,30,30,30,True
200404,1,25.27702537788117,55.40507736323728,31.258541244132697,0.5131734893674541,20.565442829217154,0.9515059179949538,30,30,30,30,True
200404,2,86.32395260163588,105.45331512390126,31.491858086264454,0.40378131517017046,22.262192676797497,1.0911358345739366,30,30,30,30,True
200404,3,130.84985986422012,158.1495207681604,31.662740850185628,0.5538108383270958,22.57886862290013,0.9966516542950224,30,30,30,30,True
200404,4,32.24459848130769,37.0770464813978,30.943090222915895,0.5137378602394914,20.921911665492775,1.3052795663048358,30,30,30,30,True
200404,5,5.630912484990713,7.99402764814473,29.89755924414805,1.0197624493643864,19.088466500220346,1.0385472766872699,30,30,30,30,True
200404,6,0.7772604702257073,1.8570237585595515,29.373431853654974,1.246484606238023,18.92782482659468,1.048651639174162,30,30,30,30,True
200404,7,0.2678161736448096,0.6171033880428518,28.5169702894113,0.9326720464246653,18.44189010847821,0.890779324012424,30,30,30,30,True
200404,8,1.3603570016630868,2.677047077567398,28.34938183711334,0.7735317531371729,18.09078366671575,0.8371948315163928,30,30,30,30,True
200404,9,3.1863381192768006,4.4815439089827995,28.897894665897834,0.7585458052953543,18.005174854833623,0.7958657520805689,30,30,30,30,True
200404,10,5.301344665097136,6.384271429769908,29.098275829957927,0.7079922513587725,17.695806394439394,0.625717562852578,30,30,30,30,True
200404,11,3.657757740030574,4.846168169589967,29.55092457972166,0.5290012974512651,18.00802183318861,0.913356290096206,30,30,30,30,True
200404,12,6.881419698900253,14.204977068267606,30.75000682597789,0.47856773663979085,19.574133764960706,0.9550133104265103,30,30,30,30,True
200405,1,53.210292153454155,67.28782830304442,30.652407327746975,0.5160179018000683,21.590609643314107,0.7798608348931854,30,30,30,30,True
200405,2,122.80252549639991,119.30460876074063,30.77105770278283,0.409507688059752,22.801541356613075,0.7459265000945298,30,30,30,30,True
200405,3,212.44721918829492,196.38796645476532,30.98864861239176,0.5167852216514869,23.096362659020276,0.7251641863529084,30,30,30,30,True
200405,4,70.27040724145569,58.70205127686256,30.590387576319692,0.47167546566225743,22.08723981784238,0.9125040089985099,30,30,30,30,True
200405,5,11.859733002345475,11.63368129163747,29.70464992614626,0.9155961186978603,20.57521729473728,0.7670123967523704,30,30,30,30,True
200405,6,1.5030234694112907,2.89272920812157,29.28054529467123,1.1732163372411841,20.197708657311942,0.8484859900379133,30,30,30,30,True
200405,7,0.49787336539647975,1.172581907880687,28.516412321721084,0.8869293223044817,19.48061033285292,0.7267966406526286,30,30,30,30,True
200405,8,1.9032231671686086,3.9228196264585953,28.49831878267083,0.7301360454483445,19.19252278117574,0.7128591122555451,30,30,30,30,True
200405,9,4.152512278893549,5.7281772217717455,28.979038152716655,0.7146508322264019,19.46603168633128,0.6535550644968985,30,30,30,30,True
200405,10,7.276946707163218,7.891351590501875,29.03361714151182,0.6921360394905743,19.335497462791402,0.5500046845624776,30,30,30,30,True
200405,11,5.496727260213813,6.317712334774512,29.332293201439786,0.48727328187668645,19.50213149303329,0.8856521868236473,30,30,30,30,True
200405,12,11.537969708523143,18.78202218133106,30.373039020801993,0.4176669831357103,20.94880606230189,0.8773209206495711,30,30,30,30,True
200406,1,61.331218062277244,45.7889052960119,29.860111092310664,0.5611204586371487,20.28261331135675,0.774016607458432,30,30,30,30,True
200406,2,115.88871513119342,91.11000970338841,29.90489314411611,0.4306006689774527,21.476207175221976,0.7157193212978246,30,30,30,30,True
200406,3,196.4744519360129,170.34811870024794,30.102873381476474,0.5566927233332246,21.819826472134274,0.6897584020617403,30,30,30,30,True
200406,4,61.88992218094616,40.15441111896234,29.64588036535865,0.5843197097170385,20.677960518150247,0.8138133363743648,30,30,30,30,True
