UBIGEO,COD_CULTIVO,CROP_STD,ANO,TEMPORAL_ROLE,VARIABLE,SHARE_FIELD,ANNUAL_DENOMINATOR,DENOMINATOR_STATUS,SOURCE_12_MONTHS_PRESENT,MISSING_MONTH_COUNT,POSITIVE_MONTH_COUNT,NORMALIZED_ENTROPY,CIRCULAR_R,CIRCULAR_MEAN_ANGLE_RAD,CIRCULAR_MEAN_MONTH,K50,K50_START_MONTH,K50_END_MONTH,K50_CAPTURED_SHARE,K75,K75_START_MONTH,K75_END_MONTH,K75_CAPTURED_SHARE,K90,K90_START_MONTH,K90_END_MONTH,K90_CAPTURED_SHARE,DESCRIPTIVE_ONLY,SELECTION_STATUS
200101,13010210000,MANGO,2016,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,73.0,POSITIVE,True,0,1,-0.0,1.0,3.6651914291880914,7.999999999999999,1.0,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,8.0,8.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2016,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,619.0,POSITIVE,True,0,1,-0.0,1.0,5.759586531581287,12.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2016,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,2668.0,POSITIVE,True,0,2,0.2786602038586826,0.9659745383031061,6.031428654921216,0.5191802120417552,1.0,1.0,1.0,0.5187406296851574,2.0,12.0,1.0,1.0,2.0,12.0,1.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2017,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,124.0,POSITIVE,True,0,2,0.27810484108417105,0.5031120632413619,5.648302984753637,11.787464081250972,1.0,10.0,10.0,0.532258064516129,5.0,10.0,2.0,1.0,5.0,10.0,2.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2017,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,619.0,POSITIVE,True,0,1,-0.0,1.0,0.5235987755982988,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2017,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,15708.0,POSITIVE,True,0,2,0.27609061324602036,0.9664160795007172,0.2936532068781789,1.5608363131533896,1.0,2.0,2.0,0.5594601476954418,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2018,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,40.0,POSITIVE,True,0,1,-0.0,1.0,0.5235987755982988,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2018,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,619.0,POSITIVE,True,0,1,-0.0,1.0,5.759586531581287,12.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2018,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,19485.0,POSITIVE,True,0,6,0.6050915332087952,0.7679896863959194,5.97377609191916,0.40907192743742726,2.0,1.0,2.0,0.5732614831921992,3.0,12.0,2.0,0.7520143700282268,5.0,10.0,2.0,0.9938414164742109,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2019,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,212.0,POSITIVE,True,0,1,-0.0,1.0,3.6651914291880914,7.999999999999999,1.0,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,8.0,8.0,1.0,True,NOT_SELECTED_STAGE_A
