ALTERNATIVE_ID,SOURCE_CAMPAIGN,UBIGEO,DISTRICT_NAME,CROP_CODE,CROP_STD,CAMPAIGN_MONTH_ORDER,CALENDAR_YEAR,CALENDAR_MONTH,YEAR_MONTH,SIEMBRA_HA,CAMPAIGN_TOTAL_HA,WITHIN_CAMPAIGN_SHARE,OBSERVED_ZERO_FLAG,SOURCE_MISSING_FLAG,EMPIRICALLY_REALIZED,REFERENCE_CONFIGURATION_ROLE
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,4,2020,11,202011,0,680,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,5,2020,12,202012,0,680,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,6,2021,1,202101,0,680,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,7,2021,2,202102,30,680,0.04411764705882352941176470588,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,8,2021,3,202103,139,680,0.2044117647058823529411764706,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,9,2021,4,202104,91,680,0.1338235294117647058823529412,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,10,2021,5,202105,0,680,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,11,2021,6,202106,0,680,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,12,2021,7,202107,0,680,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200111,LAS LOMAS,14010020000,ARROZ,1,2020,8,202008,200,1670,0.1197604790419161676646706587,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
