UBIGEO,COD_CULTIVO,CROP_STD,CAMPAIGN_ID,OUTCOME_VALID_FLAG,EXCLUSION_REASON,EXPOSURE_VALID,EXPOSURE_FAILURE_REASON,IDENTIFIED_OBSERVED_WEIGHT_FRACTION,INTERSECTION_STATUS
200201,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.013914656771799629,OUTCOME_VALID_EXPOSURE_VALID
200201,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,0.15251442704039572,OUTCOME_VALID_EXPOSURE_VALID
200201,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,TRUE,NONE,0.38017324350336862,OUTCOME_VALID_EXPOSURE_VALID
200201,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.30548523206751055,OUTCOME_VALID_EXPOSURE_VALID
200201,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.013947001394700139,OUTCOME_VALID_EXPOSURE_VALID
200202,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.3888888888888889,OUTCOME_VALID_EXPOSURE_VALID
200202,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.61538461538461542,OUTCOME_VALID_EXPOSURE_VALID
200202,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.66666666666666663,OUTCOME_VALID_EXPOSURE_VALID
200202,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,0.80000000000000004,OUTCOME_VALID_EXPOSURE_VALID
200202,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,0,OUTCOME_VALID_EXPOSURE_INVALID
200202,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.097087378640776698,OUTCOME_VALID_EXPOSURE_VALID
200202,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.11881188118811881,OUTCOME_VALID_EXPOSURE_VALID
200203,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200203,14010020000,ARROZ,2017/2018,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
