year,month,DATE,ICEN
1963,6,1963-06-01,0.17
1963,7,1963-07-01,0.36
1963,8,1963-08-01,0.61
1963,9,1963-09-01,0.7
1963,10,1963-10-01,0.59
1963,11,1963-11-01,0.48
1963,12,1963-12-01,0.25
1964,1,1964-01-01,-0.14
1964,2,1964-02-01,-0.52
1964,3,1964-03-01,-0.75
1964,4,1964-04-01,-1.14
1964,5,1964-05-01,-1.24
1964,6,1964-06-01,-1.34
1964,7,1964-07-01,-1.05
1964,8,1964-08-01,-0.9
1964,9,1964-09-01,-0.79
1964,10,1964-10-01,-0.55
1964,11,1964-11-01,-0.58
1964,12,1964-12-01,-0.36
1965,1,1965-01-01,-0.17
1965,2,1965-02-01,0.26
1965,3,1965-03-01,0.94
1965,4,1965-04-01,1.62
1965,5,1965-05-01,2.1
1965,6,1965-06-01,2.03
1965,7,1965-07-01,1.93
1965,8,1965-08-01,1.59
1965,9,1965-09-01,1.35
1965,10,1965-10-01,1.04
1965,11,1965-11-01,1.03
1965,12,1965-12-01,1.01
1966,1,1966-01-01,0.64
1966,2,1966-02-01,0.02
1966,3,1966-03-01,-0.65
1966,4,1966-04-01,-1.0
1966,5,1966-05-01,-1.03
1966,6,1966-06-01,-0.93
1966,7,1966-07-01,-0.8
1966,8,1966-08-01,-0.6
1966,9,1966-09-01,-0.34
1966,10,1966-10-01,-0.26
1966,11,1966-11-01,-0.17
1966,12,1966-12-01,-0.32
1967,1,1967-01-01,-0.18
1967,2,1967-02-01,-0.3
1967,3,1967-03-01,-0.21
1967,4,1967-04-01,-0.27
1967,5,1967-05-01,-0.27
1967,6,1967-06-01,-0.4
1967,7,1967-07-01,-0.67
1967,8,1967-08-01,-0.95
1967,9,1967-09-01,-1.14
1967,10,1967-10-01,-1.24
1967,11,1967-11-01,-1.24
1967,12,1967-12-01,-1.21
1968,1,1968-01-01,-1.05
1968,2,1968-02-01,-0.95
1968,3,1968-03-01,-1.02
1968,4,1968-04-01,-1.2
1968,5,1968-05-01,-1.21
1968,6,1968-06-01,-0.89
1968,7,1968-07-01,-0.35
1968,8,1968-08-01,0.27
1968,9,1968-09-01,0.51
1968,10,1968-10-01,0.56
1968,11,1968-11-01,0.51
1968,12,1968-12-01,0.49
1969,1,1969-01-01,0.3
1969,2,1969-02-01,0.38
1969,3,1969-03-01,0.72
1969,4,1969-04-01,1.43
1969,5,1969-05-01,1.64
1969,6,1969-06-01,1.44
1969,7,1969-07-01,0.91
1969,8,1969-08-01,0.58
1969,9,1969-09-01,0.7
1969,10,1969-10-01,0.93
1969,11,1969-11-01,1.13
1969,12,1969-12-01,1.05
1970,1,1970-01-01,0.77
1970,2,1970-02-01,0.18
1970,3,1970-03-01,-0.3
1970,4,1970-04-01,-0.75
1970,5,1970-05-01,-1.0
1970,6,1970-06-01,-1.51
