UBIGEO,COD_CULTIVO,CROP_STD,ANO,VARIABLE,VALUE,Z_SCORE,THRESHOLD_ABS_Z,ACTION
200105,14010070000,MAIZ AMARILLO DURO,2019,PRODUCCION,7560.0,3.029435165792224,3.0,RETAIN_FOR_REVIEW
200105,14010070000,MAIZ AMARILLO DURO,2021,PRODUCCION,12875.0,5.5340629245066255,3.0,RETAIN_FOR_REVIEW
200105,14010070000,MAIZ AMARILLO DURO,2022,PRODUCCION,15810.0,6.917145233411003,3.0,RETAIN_FOR_REVIEW
200107,14010070000,MAIZ AMARILLO DURO,2022,PRODUCCION,8406.0,3.4281021618171312,3.0,RETAIN_FOR_REVIEW
200108,14010070000,MAIZ AMARILLO DURO,2022,PRODUCCION,9268.0,3.8343089591852997,3.0,RETAIN_FOR_REVIEW
200109,14010070000,MAIZ AMARILLO DURO,2022,PRODUCCION,21750.0,9.716296482096523,3.0,RETAIN_FOR_REVIEW
200109,14010070000,MAIZ AMARILLO DURO,2023,PRODUCCION,10879.0,4.5934727069348575,3.0,RETAIN_FOR_REVIEW
200110,14010070000,MAIZ AMARILLO DURO,2017,PRODUCCION,7560.0,3.029435165792224,3.0,RETAIN_FOR_REVIEW
200110,14010070000,MAIZ AMARILLO DURO,2022,PRODUCCION,9919.0,4.141084626339218,3.0,RETAIN_FOR_REVIEW
200401,14010070000,MAIZ AMARILLO DURO,2017,PRODUCCION,8115.0,3.290972024886578,3.0,RETAIN_FOR_REVIEW
200105,14010070000,MAIZ AMARILLO DURO,2020,HARVEST_AREA,1784.0,3.468966954799963,3.0,RETAIN_FOR_REVIEW
200105,14010070000,MAIZ AMARILLO DURO,2021,HARVEST_AREA,2575.0,5.302352105274918,3.0,RETAIN_FOR_REVIEW
200105,14010070000,MAIZ AMARILLO DURO,2022,HARVEST_AREA,3162.0,6.66290467585494,3.0,RETAIN_FOR_REVIEW
200108,14010070000,MAIZ AMARILLO DURO,2022,HARVEST_AREA,1860.0,3.645120268878467,3.0,RETAIN_FOR_REVIEW
200109,14010070000,MAIZ AMARILLO DURO,2022,HARVEST_AREA,4094.0,8.823100580080803,3.0,RETAIN_FOR_REVIEW
200109,14010070000,MAIZ AMARILLO DURO,2023,HARVEST_AREA,2125.0,4.259339061389039,3.0,RETAIN_FOR_REVIEW
200110,14010070000,MAIZ AMARILLO DURO,2017,HARVEST_AREA,1612.0,3.0703041913591385,3.0,RETAIN_FOR_REVIEW
200110,14010070000,MAIZ AMARILLO DURO,2022,HARVEST_AREA,2346.0,4.771574356275215,3.0,RETAIN_FOR_REVIEW
200401,14010070000,MAIZ AMARILLO DURO,2017,HARVEST_AREA,1637.0,3.1282493604639097,3.0,RETAIN_FOR_REVIEW
200105,14010070000,MAIZ AMARILLO DURO,2020,SOWN_AREA,1663.0,3.068265012049866,3.0,RETAIN_FOR_REVIEW
