UBIGEO,COD_CULTIVO,CROP_STD,OUTCOME_YEAR,DIAGNOSTIC_LAG_MONTHS,HARVEST_DENOMINATOR,HARVEST_SUPPORT_STATUS,UNSUPPORTED_HARVEST_SHARE,POTENTIAL_LEFT_TRUNCATION,UNSUPPORTED_PREDECESSOR_MONTHS,DECISION_STATUS,IMPUTATION_USED
200204,14010020000,ARROZ,2016,11,2.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200204,14010020000,ARROZ,2016,12,2.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,1,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,2,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,3,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,4,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,5,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,6,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,7,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,8,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,9,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,10,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,11,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200205,14010020000,ARROZ,2016,12,53.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,1,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,2,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,3,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,4,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,5,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,6,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,7,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,8,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,9,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,10,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,11,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200206,14010020000,ARROZ,2016,12,25.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,1,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,2,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,3,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,4,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,5,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,6,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,7,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,8,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,9,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,10,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,11,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200207,14010020000,ARROZ,2016,12,1850.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,1,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,2,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,3,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,4,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,5,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,6,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,7,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,8,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,9,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,10,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,11,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200208,14010020000,ARROZ,2016,12,130.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,1,40.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,2,40.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,3,40.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,4,40.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,5,40.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,6,40.0,POSITIVE,0.0,False,201507,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,7,40.0,POSITIVE,0.0,False,201506;201507,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,8,40.0,POSITIVE,0.0,False,201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,9,40.0,POSITIVE,0.0,False,201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,10,40.0,POSITIVE,0.0,False,201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,11,40.0,POSITIVE,0.0,False,201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200209,14010020000,ARROZ,2016,12,40.0,POSITIVE,0.75,True,201501;201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,1,650.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,2,650.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,3,650.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,4,650.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,5,650.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,6,650.0,POSITIVE,0.0,False,201507,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,7,650.0,POSITIVE,0.0,False,201506;201507,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,8,650.0,POSITIVE,0.0,False,201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,9,650.0,POSITIVE,0.0,False,201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,10,650.0,POSITIVE,0.0,False,201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,11,650.0,POSITIVE,0.5384615384615384,True,201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200210,14010020000,ARROZ,2016,12,650.0,POSITIVE,0.5384615384615384,True,201501;201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
