CROP,CROP_CODE,UBIGEO,IN_FROZEN_SAMPLE,CENTROID_PRESENT,CENTROID_UNIQUE,CENTROID_X_M,CENTROID_Y_M,FINITE_XY,COVERAGE_STATUS
MAIZ_AMARILLO_DURO,14010070000,200401,TRUE,TRUE,TRUE,589291.62747625145,9433828.577524988,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200402,TRUE,TRUE,TRUE,619121.4153163213,9417997.4606977198,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200403,TRUE,TRUE,TRUE,633818.74488958344,9439877.5329327025,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200404,TRUE,TRUE,TRUE,601101.20326624648,9407719.2139992528,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200405,TRUE,TRUE,TRUE,611012.06633028667,9430366.9539581016,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200406,TRUE,TRUE,TRUE,629872.91568063071,9398898.582052812,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200407,TRUE,TRUE,TRUE,639485.26208931522,9414486.7422613241,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200408,TRUE,TRUE,TRUE,624626.70724446187,9433322.6146635301,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200409,TRUE,TRUE,TRUE,620753.75847769738,9441359.9501733985,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200410,TRUE,TRUE,TRUE,636380.51145999308,9429903.4274929278,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200502,TRUE,TRUE,TRUE,499249.8904450534,9465515.5544000715,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200503,TRUE,TRUE,TRUE,496669.76314586727,9458436.6572280694,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200504,TRUE,TRUE,TRUE,492134.20017646533,9455003.3145832531,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200505,TRUE,TRUE,TRUE,509625.53777308296,9440100.7071254198,TRUE,PASS
