UBIGEO,SOURCE_GEOMETRY_SHA256,SOURCE_CRS,TARGET_CRS,CENTROID_METHOD,CENTROID_X_M,CENTROID_Y_M,FINITE_XY,GEOMETRY_VALID,GEOMETRY_EMPTY,UNIQUE_UBIGEO_STATUS
200408,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,624626.707244462,9433322.614663530,TRUE,TRUE,FALSE,PASS
200409,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,620753.758477697,9441359.950173398,TRUE,TRUE,FALSE,PASS
200410,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,636380.511459993,9429903.427492928,TRUE,TRUE,FALSE,PASS
200502,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,499249.890445053,9465515.554400072,TRUE,TRUE,FALSE,PASS
200503,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,496669.763145867,9458436.657228069,TRUE,TRUE,FALSE,PASS
200504,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,492134.200176465,9455003.314583253,TRUE,TRUE,FALSE,PASS
200505,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,509625.537773083,9440100.707125420,TRUE,TRUE,FALSE,PASS
200506,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,504143.964254333,9465299.875296062,TRUE,TRUE,FALSE,PASS
200507,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,488102.601133690,9465193.729880620,TRUE,TRUE,FALSE,PASS
200601,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,550326.910805423,9466608.085389793,TRUE,TRUE,FALSE,PASS
200603,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,512679.829463680,9466487.358421206,TRUE,TRUE,FALSE,PASS
200605,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,523855.818493846,9498510.545276122,TRUE,TRUE,FALSE,PASS
200606,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,523452.994121647,9441968.203377496,TRUE,TRUE,FALSE,PASS
200607,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,543887.184655430,9477600.968356568,TRUE,TRUE,FALSE,PASS
200608,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,535121.431725827,9465201.659725733,TRUE,TRUE,FALSE,PASS
200801,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,537170.971562642,9346070.764596464,TRUE,TRUE,FALSE,PASS
200802,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,528481.611889182,9400182.805649722,TRUE,TRUE,FALSE,PASS
200803,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,533010.498745082,9396727.993191263,TRUE,TRUE,FALSE,PASS
200804,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,539759.709931298,9388163.830524895,TRUE,TRUE,FALSE,PASS
200805,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,513897.445734572,9398849.136937981,TRUE,TRUE,FALSE,PASS
200806,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,524994.655155103,9394042.304801928,TRUE,TRUE,FALSE,PASS
